BP_Author full name,BP_Author last name first,BP_Brief Summary of the Work,BP_Description_1,BP_Title,BP_Date Published,BP_Edition Number,BP_Provenance,BP_Publication Place,BP_Collation/Pagination/Foliation,BP_BibliographicNotes
"Weinhold, Johann Karl","Weinhold, Johann Karl",machines,,"Versuch einer Mechanik für Ungelehrte, zum Nutzen verschiedener Künstler, Professionisten und der Landleute",1790,0,Ingenieurcorpsets Bibliothek stamp; Kuhn,Dresden,"Half leather, marbled paper, 13 x 20 cm, volume 1, [title], 6 pps, 460 pgs, 6 pps, 7 folding plates; volume 2, [title], 8 pps, 458 pgs, 1 pp, 18 folding plates",Vol 2 1792
Wilfred Laurier,Manchester Ship Canal,Manchester Ship Canal,,Presented by the directors of the Manchester Ship Canal Company upon the occasion of the visit of the Colonial Premiers to Manchester,1907,0,Presentation copy to Right Honourable Sir Wilfred Laurier,Manchester,"Full red morroco, 42 x 31 cm, 18 card stock leaves with hand drawn red frames, photographs and titles pasted on, 1 double folded map (printed recto/verso) tipped in, one coloured, folded map tipped in","Label pasted on last leaf, Geo. Falkner & Sons, Illuminators & Printers, 170 Deansgate, Manchester, etc."
Public Works,Public Works,"Dam construction, Elmwood Pk Syracuse",,"Circular Concrete dam & butt. Walls, Elmwood Park Syracuse, H.G.T.",1929,0,,Syracuse,"File folder with 4 loose sheets of correspondance, 7 sheets with photographs pasted, 10 sheets of notes, 1 magazine cutting",
Public Works,Public Works,Bridge construction,,"Various projects, bridge construction",1930c,0,MacDonald,New York State,"Loose paper sheets (21.5 x 28 cm, 8.5"" x 11""), 28 sheets with photographs pasted on, 8 loose photographs (25x20.5 cm), each sheet heavily annotated with construction notes and details, all formerly bound in a 3-ring binder",
Hydraulic works,Hydraulic works,Hydraulic projects,,Unterlagen zum gesuch des Hieronymus Buhl um zulassung zur wasserbau pruefung,1912,0,Banzhauf,stuttgart,"Manuscript notes and drawings, black ink with coloured drawings, on paper, various sizes, all contained in boards (front and back) with title label and ribbon ties; notes and drawings bound in five bound folders with individual title labels, larger drawings folded.",
"Eiffel, Gustave","Eiffel, Gustave","Bridge design, construction",,"Bridge and lock, design notes and drawings, Societe des Gustave Eiffel et Cie",1880c,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Paris,"Manuscript notes, drawings, photographs and published pamphlets; various sizes and formats, on paper, rinted and manuscript; published pamphlets","See finding aid for archive holdings -- Accession 0ne, (2134.01, 8 files), published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06); Accession two, (2134.07, 8 files)"
"Eiffel, Gustave","Eiffel, Gustave",Viaduc de Garabit,,Mémoire presenté a l'appui du projet définitif du Viaduc de Garabit; Extrait des Mémoires de la Société des Ingénieurs Civils,1889,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Paris,"Pamphlet, unbound, 18 x 27.5 cm, [blank][general title][half title][title], 182 pgs; included in manuscript notes, drawings, photographs and published pamphlets","See finding aid for archive holdings (2134.01); published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06)"
"Eiffel, Gustave","Talansier, Charles",Viaduc de Garabit,,"Lançage du viaduc de Garabit, par Charles Talansier",1883,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Paris,"Pamphlet, printed paper wrap, 16 x 24 cm, [title], 10 pgs, 1 folding plate, 1 engraved plate of bridge construction; included in manuscript notes, drawings, photographs and published pamphlets","See finding aid for archive holdings (2134.01); published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06)"
"Eiffel, Gustave","Eiffel, Gustave",Viaduc de Garabit,,Le Viaduc de Garabit par G. Eiffel,1880,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Paris,"Pamphlet, printed paper wrap, 16 x 24.5 cm, 6 pgs, 1 folding plate; included in manuscript notes, drawings, photographs and published pamphlets","See finding aid for archive holdings (2134.01); published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06)"
"Eiffel, Gustave","Eiffel, Gustave",River Douro,,Memoria da ponte sobre o Douro proximo do porto em apoio do projecto apresentado por G. Eiffel & C.,1877,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Lisbon,"Pamphlet, printed paper wrap, 15 x 23 cm, [title], 106 pgs; included in manuscript notes, drawings, photographs and published pamphlets","See finding aid for archive holdings (2134.01); published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06)"
"Seyrig, Theophile","Seyrig, Theophile",River Douro,,Le pont sur le Douro a Porto : description des projets présentés au concours description détaillée de l'ouvrage exécuté calculs de résistance relatifs a celui-ci,1878,0,Archives de la societe Gustave Eiffel et Cie; Chamonal,Paris,"Pamphlet, printed paper wrap, 16 x 24 cm, [half title][title], 76 pgs, 4 folding plates; included in manuscript notes, drawings, photographs and published pamphlets","See finding aid for archive holdings (2134.01); published pamphlets listed as separate volumes (2134.02, 03, 04, 05,06)"
"Cochius, Friedrich August","Cochius, Friedrich August",Pontoon bridges,,"Beschreibung wie der Uebergang über Ströme, mittelst der Schiffbrücken und einiger andern Veranstaltungen, zu bewerkstelligen ist",1814,0,"Ingenieurcorpsets stamp, Kuhn",Berlin,"Half leather, marbled papers, 20 x 24 cm, [title], 24 pgs, 2 folding plates",
Po River,Po River,River Po,,Discorso sopra le acque Mantovane,1633,0,Kuhn,Mantua,"Carta Rustica, 19 x 27.5 cm, manuscript in brown ink, 20 leaves (12 leaves text, 1 leaf map, 7 blank)",
"Hermbstadt, Sigismund Friedrich","Hermbstadt, Sigismund Friedrich","Science, industry encyclopedia",,"Magazin aller neuen Erfindungen, Entdeckungen und Verbesserungen für Fabrikanten, Manufakturisten, Künstler, Handwerker und Oekonomen",1797,0,,Leipzig,"Half leather, marbled paper on boards, 21 x 25 cm, 11 volumes, each with title and folding plates; 372 pgs, 4 pps, 38 plates; 371 pgs, 9 pps, 45 plates; 378 pgs, 10 pps, 46 plates; 378 pgs, 10 pps, 39 plates; 366 pgs, 10 pps, 45 plates; 373 pgs, 6 pps, 40 plates; 367 pgs, 11 pps, 36 plates; 375 pgs, 10 pps, 80 pgs, 44 plates; 373 pgs, 8 pps, 45 plates; 375 pgs, 9 pps, 36 plates; 370 pgs, 10 pps, 43 plates","Second series title: Neues Magazin aller neuen Erfindungen, Entdeckungen und Verbesserungen, für Fabrikanten, Manufacturisten, Künstler, Handwerker und Oekonomen"
"Cubas, Antonio Garcia","Cubas, Antonio Garcia; Castro, Casimiro",Mexican railways,,Album del Ferrocarril Mexicano : colección de vistas pintadas del natural; Album of the Mexican Railway : a collection of views taken from nature,1877,0,,Mexico,"Full cloth, decorated cover, 49 x 35 cm, [halftitle][litograph frontis with title][title], 56 pgs, double page map, [second title], 18 pgs",Combined spanish and english text interleaved with plates. French text follows as separate section.
"Cubas, Antonio Garcia","Cubas, Antonio Garcia; Castro, Casimiro; Gostkowski, G.",Mexican railways,,Album du chemin de fer mexicain : collection de vues peintes d'après nature,1877,0,,Mexico,"Full cloth, decorated cover, 49 x 35 cm, [halftitle][litograph frontis with title][title], 56 pgs, double page map, [second title], 18 pgs",Combined spanish and english text interleaved with plates. French text follows as separate section.
"Hasse, Johann Wilhelm","Hasse, Johann Wilhelm",Pile driving,,Beschreibung sieben Arten von Ramm-Maschinen ... nebst bemeldten Herrn Haasens nachgeschickten Zusätzen und noch drey andern Abhandlungen,1771,0,"Previous owner stamp, Chri (?) Ohmeyer; Kuhn",Berlin,"Full leather, 17 x 21 cm, [title], xii, 68 pgs, 19 folding plates, folio (pg 65 to 68) misplaced at x",
"Persy, Nicolas","Persy, Nicolas",Structural design,,Cours sur la stabilité des constructions à l'usage des élèves de l'École royale de l'artillerie et du génie,1825,0,"Library stamp, Koneblige Artilleriecorps Bibliothek; Kuhn",Metz,"Plain paer wrap with title label pasted on cover, 20 x 34 cm, lithographed notes, [title], 62 pgs, 1 folding plate",
"Rothe, Johann Friedrich Carl","Rothe, Johann Friedrich Carl",Hydaulic design,,"Beiträge zur Maschinen-Baukunde / 1, Wasserförderungs-Maschinen durch die bewegende Kraft des Wassers, des Windes und des Wasserdampfes betreffend",1827,1st,"Library stamp, Kaupt Conservatorium; Kuhn",Berlin,"Half leather with marbled paper on boards, 22 x 27 cm, [title], vi, 2 pps, 64 pgs, [second title], iv, 2 pps, 89 pgs, 2 pps","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately"
"Rothe, Johann Friedrich Carl","Rothe, Johann Friedrich Carl",Hydaulic design,,"Beiträge zur Maschinen-Baukunde,  volume 2",1830,1st,"Library stamp, Kaupt Conservatorium; Kuhn",Berlin,"Half leather with marbled paper on boards, 22 x 27 cm, [title], vi, 2 pps, 64 pgs, [second title], iv, 2 pps, 89 pgs, 2 pps","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately"
"Rothe, Johann Friedrich Carl","Rothe, Johann Friedrich Carl",Hydaulic design,,"Beiträge zur Maschinen-Baukunde,  Altas (volume 1)",1827,1st,Kuhn,Berlin,"Printed paper wrap, 39 x 49 cm, 8 plates","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately"
"Rothe, Johann Friedrich Carl","Rothe, Johann Friedrich Carl",Hydaulic design,,"Beiträge zur Maschinen-Baukunde,  Altas (volume 2)",1830,1st,Previous shelf mark; Kuhn,Berlin,"Marbled paper folder with title label pasted on, printed paper cover bound in, 35 x 43 cm, 12 plates","Two volumes of text (volume 1, 1827; volume 2, 1830) bound together, corresponding altas volumes bound seperately"
"Berthault-Ducreux, 	Alexandre","Berthault-Ducreux, 	Alexandre",Traffic management,,"Mémoire sur la nécessité d'une liberté illimitée dans les charges du roulage, et sur les moyens pratiques de maintenir les routes en parfait état, avec cette liberté, sans acroitre la dépense",1833,0,Authour inspcription to M. Canat; Kuhn,Paris,"Printed wrap, cloth slipcase, 14 x 21 cm, [half title][title], 82 pgs",
"Morri, Giuseppe","Morri, Giuseppe",Faenza,,Riflessioni istoriche e fisiche sul naviglio di Faenza,1796,0,Rovito,Lugo,"Carta rustica, 16 x 23 cm, [title], 1 pp, 109 pgs, [colophon], 1 folding map",
"Poleni, Giovanni","Poleni, Giovanni",Mathematics,,De Mathesis in rebus physicis utilitate praelectio,1720,0,,Padua,"Paper wrap, 20 x 28 cm, [title] 28 pgs",
Faenza Canal,Faenza Canal,Faenza Canal,,"Chirografo ... delli 2 Giugno 1776, diretto ... all'Em̃o ... Cardinale Legato di Romagna per la costruzione di un canale naviglio dalla città di Faenza al Mare Adriatico mediante il Pò di Primaro",1776,0,Rovito,Rome,"Decorated paper wrap, 19 x 27.5 cm, [title], 15 pg, 6 pps, [second title], 16 pgs",
Faenza Canal,Faenza Canal,Faenza Canal,,"Moto proprio della santita' di nostro signore Papa Pio Sesto, per l'approvazione di tutta l'opera fatta del Canale Naviglio, che dalla citta di Faenza conduce al Mare Adriatico mediante il Po di primaro",1788,0,Rovito,Rome,"Decorated paper wrap, 19 x 27.5 cm, [title], 15 pg, 6 pps, [second title], 16 pgs",
"Aldini, Giovanni","Aldini, Giovanni",Hydraulic machines,,"Osservazioni sul flusso del mare,  considerato com motore di molini e di altre macchine idrauliche",1811,0,Ex libris di Giorgio Amici; Rovito,Milan,"Paper on boards, 13.5 x 21.5 cm, 28 pgs",
"Paolo, Bovi","Paolo, Bovi",Bologna water supply,,Memoria per un acquidotto d' acqua potabile per alimentare Bologna,1869,0,Rovito,Bologna,"Paper wrap17 x 26 cm, [title], 21 pgs",
"Bramwell, Frederick","Bramwell, Frederick",Channel Tunnel,,"The making and working of a channel tunnel : lecture delivered at the royal institution on Friday evening, May 19, 1882",1882,0,Katz,London,"Printed wrap, 14 x 21 cm, 28 pgs",
"Tubertini, Ottavio","Tubertini, Ottavio",Reno River,,"Progetto per un grandioso stabilimento in Bologna di bagni chiusi, e ad acqua corrente, ……. e sale per la ginnastica da instituirsi in luogo detto la Grada con della corrente del canale di Reno",1864,0,Rovito,Bologna,"Coth, 21 x 29 cm, [title], 2 pp, 54 pgs, 1 folding plate",
Holland Tunnel,Holland Tunnel,Holland Tunnel,,"Report of the New York State Bridge and Tunnel Commission to the Governor and Legislature of the State of New York, 1920",1920,0,Katz,New York,"Cloth with frame and title on cover, 23 x 31 cm, [frontis photograph][title], 82 pgs, 5 photographic plates, 6 plates, 23 folding plates","See New Jersey Report, #1899."
Thames Tunnel,Thames Tunnel,Thames Tunnel,,"Opsigrafia del Tamis-Tounel o della via cavata sotto il Tamigi in Londra dal Sr. Tounel, ingeg. Francese",1838,0,Rovito,Ancona,"Card stock, 29 x 34 cm, lithograph print, recto only",Un-coloured and not cut out
"Hutchings, John","Hutchings, John; Fulton, Robert; Fitch, John",Steam navigation,,Honor to whom honor is due. Origin of steam navigation. A view of Collect Pond and its vicinity,1846,0,Rovito,New York,"Engraved broadsheet, 49.5 x 39.5 cm, recto only",
Pumps,Pumps,Pumps,,Aqua thruster Colossus of Rhodes pattern,1940c,0,Rovito,Manchester,"Lithograph broadsheet, 28 x 43.5 cm, recto, verso",
Pumps,Pumps,pumps,,Running Water when and where you want it,1910c,0,Rovito,New York,"Printed wrap, 15 x 23 cm, 40 pgs, with printed folio, 15 x 23 cm, with loose insert, and printed correspondance, 21.5 x 27.5 cm",
Solar energy,Solar energy,Solar energy,,Un procedimiento para el aprovechamiento industrial de la energia calorifica de losv rayos solares,1934,0,Rovito,Barcelona,"Printed wrap(with typescript entries), stapled, 23.5 x 34 cm, typescript letter, printed folio document with handwritten annotations, 9 leaves typescript, 2 sheets blueprint sketches",Patent submission
Brymbo Water Company,Brymbo Water Company,Water rights,,Indenture,1889,0,,London,"Manuscript on paper, 34 x 42 cm, 7 sheets recto only except for occassional notes verso, pinned in upper corner","Draft indenture withcorrections, additons, not executed"
"Hering, Rudolph","Hering, Rudolph",New York water supply,,Corespondance regarding water supply reports,1904,0,Katz,New York,"Typescript letter, 21 x 28 cm, 2 sheets",
Sewer Pipe,Sewer Pipe,Sewer pipes,,Akron Ohio Sewer Pipe,1915,0,Katz,Boston,"Printed wrap, 9.5 x 15 cm, 16 pgs",
Sewer Pipe,Sewer Pipe,sewer pipes,,Sewer Pipe,1925,0,,Newark,"Printed sheet, folded to 9 x 23 cm, recto verso",
Machine model,"Machine model; Voigt, Gustav",Kinematic model,,Eccentric wheel and hub; Reuleaux Kinematic Model manufactured by Gustav Voigt,1900c,0,MacDonald,Berlin,"Metal and wood base, 19 x 29 cm, with steel and brass cam and wheel (dia 15 cm), with supports, shaft, crank handle and articulated arm, overall height 21 cm; metal name plate (6 x 2 cm) on base; small plastic inventory label (MC3802)","Label on base: GUSTAV VOIGT
Mechanische Werkstatt für
wissenschaftliche Modelle und Maschinen
BERLIN, S.W. Neuenburgerstr. 12."
,"Machine model; Voigt, Gustav",Kin,,Gear teeth model; Reuleaux Kinematic Model manufactured by Gustav Voigt,1900c,0,MacDonald,Berlin,"Metal and wood base, 24 x 21 cm, overall height 42 cm, steel and base supports, gear teeth, ratchet with shaft and crank, transfer wheels with spring steel straps and various adjustment arms and knobs; metal name plate (6 x 2 cm) on base; small plastic inventory label on base (MC3804)","Label on base: GUSTAV VOIGT
Mechanische Werkstatt für
wissenschaftliche Modelle und Maschinen
BERLIN, S.W. Neuenburgerstr. 12."
"Serena, Augusto","Serena, Augusto",Brenta River,,Il canale della Brentella e le nuove opere di presa e di derivazione nel quinto secolo dagli inizi : cronistoria - descrizione tecnica - ordinamento,1929,0,,Treviso,"Printed wrap, 20 x 27 cm, [title], 319 pgs, [eratta], pbhotograph plates and folding illustrations bound in text",
"Wadstrom, Carl Bernhard","Wadstrom, Carl Bernhard","Werner & Trollhatte canal, public works",,Ritningar,1780c,0,Kuhn,Sweden,"Full leather, 39 x 55 cm, gilt title on cover, manuscript drawings on paper, black and red ink with colour wash, 99 leaves (10 double, folded sheet; 18 double sheets; 14 single sheets; 5 small format single sheets, 12 small format double sheets), 3 looses sheets of notes under cover",
"Dietlein, Johann Friedrich Wilhelm","Dietlein, Johann Friedrich Wilhelm; Koppin, Ludwig Lebrecht; Roebling, John A.",Civil engineer lecture notes,,"Dietlein lecture notes. Strombau, deichbau, brucken-bau",1824,0,Kuhn,Berlin,"Marbled paper on boards, 18.5 x 22 cm, 4 volumes, vol. 1: 222 pgs, 2 folding drawings; vol 2: 219 pgs, 1 folding drawing; vol 3: 269 pgs; vol 4: 45 pgs, 2 folding plates, 111 pgs, 9 folding plates",Lectures attended by John Roebling
"Culmann, Carl","Culmann, Carl; Ritter, Wilhelm",Civil engineering lecture notes,,Polytechnikum Zurich lecture notes,1868,0,Kuhn,Zurich,"Half cloth, marbled paper on boards, 19 x 22 cm, 3 volumes, vol 1: 63 numbered leaves, 15 leaves, 47 numbered pgs, 8 unnumbered leaves, 47 numbered pgs, 47 numbered pages, 63 numbered pgs, 5 leaves, 15, 15 numbered pgs, 4 unnumbered leaves; vol 2: lithographed plates; vol 3: lithographed plates",
"Arnolfini, Giovanni Attilio","Arnolfini, Giovanni Attilio",Lake Sesto (Bientina),,"Memorie sopra il Lago di Sesto, e di Bientina. Raccolte e compilate dallo sp. Le Gio. Attilio Arnolfini",1779,0,Kuhn,Lake Sesto,"Full vellum, 24 x 35 cm, [title, contents verso], 4 leaves, 191 pgs, 1 folding, lithographic plate, 1 folding lithographic map with manuscript notes in red and yellow ink, 32 blank leaves",
"Zanotti, Eustachio","Zanotti, Eustachio",Lake Sesto,,"Apologia fisica del progetto del nuovo Ozzeri contro le osservazioni, e riflessioni di alcuni interessati di Gio: Attilio Arnolfini.",1783,0,Kuhn,Lake Sesto,"Carta rustica, 21 x 30 cm, note tipped in front flyleaf, [title], 2 unnumbered leaves, 213 numbered pgs, 10 blank leaves",
"Luning, A","Luning, A",Auebrucke bei Neustadt,,"Design notes, Auebrucke bei Neustadt",1879,0,Kuhn,Hannover,"Paper on boards with pasted on title label, 21 x 32.5 cm, 3 volumes, vol 1: [title], 55 numbered pgs, 3 folding plates; vol 2: [title], 25 numbered pgs, 1 plate, blank, [second title], 7 numbered pgs, 2 blanks; vol 3: [title], 53 numbered pgs, 1 plate, 1 blank",
"Moore, Jonas","Moore, Jonas","Fenns, Bedford Level",,"The history or narrative of the Great Level of the Fenns, called Bedford Level. With a map of the said Level as drained, surveyed and described by Sir J. Moore",1685,0,Ex libris Rothamsted Experimental Station; Hill,London,"Full leather, [notice to reader][title], 2 pps, folding map, 81 pgs",
"Vermuyden, Cornelius, Sir","Vermuyden, Cornelius, Sir",Fenn drainage,,"A Discourse touching the drayning the great Fennes, lying within the severall Counties of Lincolne, Northampton, Huntington, Norfolke, Suffolke, Cambridge and the Isle of Ely, as it waspresented to his Majestie",1642,0,"Ex libris Rothamsted Experimental Station, Wm Palmer; Hill",London,"Full leather, 16 x 20.5 cm, 1 leaf (crest verso), [title], 1 folding map, 32 pgs, 1 leaf","Notes recto of first leaf, Collated perfect, wth ye mapp"
Kingston Seymour Seawall,Kingston Seymour Seawall,Kingston Seymour seawall,,Kingston Seymour sewer work 1773,1773,0,Hill,Kingston Seymour,"Paper wraps with manuscript title, manuscript, black ink on paper, 20 x 32 cm, 6 leaves",
Marseille port,"Montluisant, Charles Laurent Joseph de; Toussaint, Louis; Marseille port",Marseille port,,"Port de Marseille. Canal de communication, Bassin de stationnement, Bassin de la Joliette. Jetees, murs de quai, pont tournants",1844,0,Lan,Marseille,"Half leather, 74 x 56 cm, 57 manuscript drawings in black and coloured ink with colour wash (52 full page, 5 double page folded) and 10 title and content page leaves",
"Pneumatic railway, New York","Pneumatic railway, New York",Pneumatic railway,,Illustrated description of the Broadway pneumatic underground railway with a full description of the atmospheric machinery and the great tunneling machine,1870,0,,New York,"Printed wraps, 17 x 24 cm, [title][advertisement], 19 pgs, [advertisement]",
"Agnesi, Maria Gaetana","Agnesi, Maria Gaetana",Calculus,,"Traités élémentaires de calcul différentiel et de calcul intégral, traduits de l'italien de Mademoiselle Agnesi, avec des additions",1775,1st french,Coltham,Paris,"Full leather, 13 x 20 cm, [title], iv, 500 pgs, 6 folding plates",
"Germain, Sophie","Germain, Sophie",Elasticity,,Examen des principes qui peuvent conduire a la connaissance des lois de l'equilibre et du mouvement des solides elastiques,1828,0,Coltham,Paris,"Half leather, 13 x 20.5 cm, pg 123 to 131","In Annales de Chimie et de Physique, tome xxxviii, Paris, 1828"
"Stephenson, George","Stephenson, George",Safety lamp,,A description of the safety lamp invented by George Stephenson and now in use in Killingworth colliery : to which is added an account of the lamp constructed by Sir Humphrey Davy,1817,0,Cotham,London,"Plain paper wrap, 13 21 cm, [title]16 pgs, 4 plates",
"Parsons, Catherine","Parsons, Catherine",Women engineers,,The woman engineer,1924,0,Coltham,London,"Typscript letter on printed letterhead, 20.5 x 26 cm, 5 sheets (recto  only) and printed single sheet 13 x 21 cm, folded",
"Kowalevski, Sophie","Kowalevski, Sophie",Solid bodies rotation,,Sur une propriete du systeme d'equations differentielles qui definit la rotation d'un corps solide autour d'un point fixe,1890,0,Coltham,Stockholm,"Half cloth, marbled paper on boards, 23 x 29 cm, pg. 81 to 93","In Acta Mathematica, Journal, pg, 81 to 93"
"Walker, James","Walker, James",River Tyne entrance piers,,"River Tyne improvement. Piers at entrance. Mr. Walker's report and plan, dated 15th November, 1853",1854,0,Phillips,Westminister,"Plain wraps with pasted on title, 13.5 x21 cm, [title], 24 pgs, 2 folding maps",
"Grainger, Richard","Grainger, Richard","Newcastle, Carlisle, Great North",,"A proposal for concentrating the termini of the Newcastle and Carlisle, the Great north of England and proposed Edinburgh railways; and for providing spacious and eligible depots ... from these several railways to the town of Newcastle",1836,0,Phillips,Newcastle,"Plain wraps with pasted on title, 13.5 x 21 cm, 1 folding map, [title], 8 pgs",
"Sowerby, William","Sowerby, William",Atmospheric railway,,Description of Harlow and Young's Patent Atmospheric Railway. With observations on the atmospheric system.,1848,0,Phillips,London,"Plain wraps with pasted on title, 13.5 x 21 cm, folding plate, [title], 12 pgs",
"Macgregor, John","Macgregor, John",River Tyne,,"Observations on the river Tyne : with a view to the improvement of its navigation : addressed to the coal owners of the district, the merchants and ship owners of Newcastle, and of North and South Shields",1832,0,Phillips,Newcastle,"Plain wraps with pasted on title, 13.5 x 21 cm, [title], v, 1 pp, 118 pgs",
"Bazaine, Pierre Dominique","Bazaine, Pierre Dominique",Steam power,,"Mémoire sur la théorie du mouvement des barques à vapeur et sur leur application à la navigation des canaux, des fleuves et des rivières",1817,0,Phillips,St. Petersbourg,"Full leather, 22 x 26 cm, [title], 79 pgs, 3 folding plates",Probably first publication in Russia regarding steamships - see notes
"Rennie, John","Rennie, John",Edinburgh to Glasgow canal,,"Report concerning the different lines surveyed by Messrs. John Ainslie & Robert Whitworth, jun., for a canal proposed to be made between the cities of Edinburgh and Glasgow",1797,0,Phillips,Edinburgh,"Leather backed, cloth, 21.5 x 27 cm, [title], 12 pgs",
"Skjoldebrand, Anders Frederik","Skjoldebrand, Anders Frederik",Trollhatta Canal,,"Description des cataractes et du canal de Trollhätta, en Suède, avec un précis historique",1804,0,Phillips,Stockholm,"Paper on boards, 22 x 28 cm, [title], 47 pgs, 2 pp, 13 plates",
"Telford, Thomas","Telford, Thomas",Tay River Ferries,,"Report by the Committee of Management, relative to the plans of the new ferry harbours at Dundee and the opposite coast of Fife, proposed by Mr. Telford",1821,0,"Manuscript note, title page, ""with Mr. Stuarts compliments""; Phillips",Dundee,"Full cloth, 23 x 29 cm, [title], 13 pgs, 2 pps, slip (explanation of the plan on the Fife side), 2 folding maps",Extensive mss marginal notes
Loire railway,"Mellet, Francois Noel; Henry, Charles-Joseph; Loire railway",Loire railway,,"Plan et profil du chemin de fer de la Loire, dresses par les Concessionnaires Directeurs Mellet et Henry",1830,0,Phillips,Roanne,"Engraved map, 125 x 43 cm, dissected, mounted on linen, folded",
"Fairbank, William","Fairbank, William","River Dun, Ouse",,"A plan of the course of the River Dun, from Sheffield to its confluence with the Ouse, shewing all the cuts made & those intended to be made, to facilitate the navigation thereof",1801,0,"Signature, Thomas Brooke; Phillips",Sheffield,"Engraved map, 93 x 28 cm, hand coloured",
"Clark, Daniel Kinnear","Clark, Daniel Kinnear","Machinery, exhibition",,The exhibited machinery of 1862 : a cyclopaedia of the machinery represented at the International Exhibition,1862,0,Signature of Harold Illingworth on title; Phillips,London,"Mauve cloth, blindstamped with gilt centerpiece on cover, 19 x 27.5 cm, [title], xxiv, 447 pgs, 39 plates (on 37 sheets), 1 folding table",Dedicated  to William Fairbairn
"Stephenson, Robert","Stephenson, Robert; Hawksley, Thomas","Liverpool, water supply",,"Report of Robert Stephenson, civil engineer, on the supply of water to the town of Liverpool : Martch 28th, 1850",1850,0,"Mss note, front flyleaf, 'with Robert Stephensons compts'; Phillips",London,"Half leather, marbled paper on boards, gilt title pasted on cover, 23 x 29 cm, [title], 89 pgs, folded plate at pg 73/74, 7 folding plates, text interleaved with blanks",
"Monte, Guido Ubaldo","Monte, Guido Ubaldo",Mechanics,,Guidi Ubaldi è Marchionibus Montis In duos Archimedis aequeponderantium libros paraphrasis scholijs illustrata,1588,o,"Ms autograph Andreae Spinulae, ex libris Cardinal Giuseppe Renato Imperiali; Sophia",Pesaro,"Full vellum, 22 x 32 cm, [title], 2 pps, 202 pgs, [colophon]",
Italian Hydraulics,Various; Italian Hydraulics,Italian Hydraulics,,"Raccolta d'autori che trattano del moto dell acque, edizione seconda corretta, ed illustrata con annotazioni",1765,2,Kuhn,Florence,"Full vellum, 20 x 26 cm, 9 volumes, various paginations, folding plates",Dates range from 1765 to 1774
Bassin de la Villette,Bassin de la Villette,Bassin de la Villette,,"Bassin de la Villette, approfondissement pour un tirant d'eau de 3m20",1878,0,Chamonal,Paris,"Manuscript drawing on heavy paper, 170 x 31 cm, in paper folder with pasted on mss title, in black and coloured ink with coloured wash, in card folder with ties",
Buenos Aires public works,"Carmona, Enrique; Buenos Aires public works",Buenos Aires public works,,"Plano del puerto de Buenos Aires publicado por la direccion del servicio y conservacion con las modificaciones proyectadas de vias, calles y jardines",1902,0,HS Books,Buenos Aires,"Printed map, 157 x 100 cm, paper sectioned and laid down on linen, folded, hand coloured, attached in cloth folder",
"Faber, S.E.","Faber, S.E.; Deryn, C.T.; Pearson, C.D.",Shanghai area watwerways,,"Shanghai and environs, waterways and roads",1930,0,Crouch,Shanghai,"Printed and manuscript maps, on paper and linen, various sizes and formats, some folded",See detailed inventory in finding aid
Alexander Mackenzie,"Mackenzie, Alexander",Trans-continental travel,,"Voyages from Montreal : on the river St. Laurence, through the continent of North America, to the frozen and Pacific oceans, in the years 1789 and 1793. With a preliminary account of the rise, progress, and present state of the fur trade",1801,0,"Presentation copy, 'Joseph Colen",London,"Full leather, 22 x 27.5 cm, [half title, with presentation][frontis][title], viii, cxxxii, 412 pgs, [errata, 2 pp], 3 folding maps",
,"Simcoe, John Graves",Military planning,,"Opinions delivered by the Earl of Essex, Ld Burleigh, Ld Willoughby, Ld Burrough, Ld North, Sir W. Knollys, Sir W. Raleigh, and Sir G. Carew on the alarm of an invasion from Spain in the year 1596, and the measures proper to be taken on that occasion",1803,0,Autograph signature of J.G. Simcoe; ex libris Jacobi P. R. Lyell; ex libris Captain Simcoe; Warren Baker,London,"Full leather, 13.5 x 21 cm, typescript description tipped in, [blank][title with annotations], lx, numerous blanks",
,Engineering Institute of Canada,Engineering Institute of Canada,,General information regarding the institute,1930c,0,Rovito,Montreal,"Printed wraps, 10 x 19 cm, 31 pgs",
"Dickens, Charles","Dickens, Charles",Urban sanitation,,"Speech of Charles Dickens delivered at Gore House, Kensington, May 10, 1851",1909,0,Rovito,Boston,"Printed wraps, 17.5 x 23.5 cm, 17 pgs, unopened, with folio prospectus",
